trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.99}",30,-31,-243.2524521930236,"{0: 41, 1: 5, 2: 10, 3: 1, 4: 4}",0
2,False,"{'a': 0.5, 'e': 0.98}",25,-15,-176.72637633449165,"{0: 27, 1: 0, 2: 8, 3: 3, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.97}",20,-70,-434.22222849439646,"{0: 58, 1: 8, 2: 13, 3: 4, 4: 7}",0
4,False,"{'a': 0.5, 'e': 0.96}",20,-25,-106.36942731002021,"{0: 30, 1: 3, 2: 10, 3: 2, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.95}",25,6,-54.95471369089478,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 0}",1
6,False,"{'a': 0.5, 'e': 0.94}",30,-100,-405.92322940489015,"{0: 86, 1: 16, 2: 19, 3: 4, 4: 5}",0
7,False,"{'a': 0.5, 'e': 0.9299999999999999}",20,-100,-752.2812304592551,"{0: 68, 1: 10, 2: 24, 3: 8, 4: 10}",0
8,False,"{'a': 0.5, 'e': 0.9199999999999999}",25,-81,-504.5205056243378,"{0: 65, 1: 8, 2: 21, 3: 6, 4: 6}",0
9,False,"{'a': 0.5, 'e': 0.9099999999999999}",25,-100,-497.88138346421465,"{0: 83, 1: 12, 2: 19, 3: 4, 4: 7}",0
10,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,-68,-509.4616326729924,"{0: 48, 1: 18, 2: 16, 3: 5, 4: 6}",0
11,False,"{'a': 0.5, 'e': 0.8899999999999999}",20,15,-4.6030598611323885,"{0: 4, 1: 0, 2: 1, 3: 0, 4: 0}",1
12,False,"{'a': 0.5, 'e': 0.8799999999999999}",25,-25,-164.44278083753463,"{0: 35, 1: 6, 2: 5, 3: 1, 4: 3}",0
13,False,"{'a': 0.5, 'e': 0.8699999999999999}",25,-11,-61.949645492323924,"{0: 27, 1: 2, 2: 6, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.8599999999999999}",25,-19,-84.5244119322804,"{0: 32, 1: 6, 2: 4, 3: 1, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.8499999999999999}",25,-5,-123.86812614203342,"{0: 20, 1: 3, 2: 4, 3: 1, 4: 2}",0
16,False,"{'a': 0.5, 'e': 0.8399999999999999}",25,1,-138.0361627631137,"{0: 14, 1: 2, 2: 5, 3: 1, 4: 2}",1
17,False,"{'a': 0.5, 'e': 0.8299999999999998}",20,-64,-140.07453375179418,"{0: 69, 1: 3, 2: 7, 3: 2, 4: 3}",0
