trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.1, 'e': 0.9999995000000417}",20,0,-47.34453965193997,"{0: 15, 1: 2, 2: 1, 3: 2, 4: 0}",0
2,False,"{'a': 0.1, 'e': 0.9999980000006666}",25,0,-106.41673287586849,"{0: 18, 1: 3, 2: 1, 3: 1, 4: 2}",0
3,False,"{'a': 0.1, 'e': 0.999995500003375}",20,0,-158.23710264696064,"{0: 12, 1: 1, 2: 3, 3: 1, 4: 3}",0
4,False,"{'a': 0.1, 'e': 0.9999920000106667}",25,0,-146.4353682772614,"{0: 12, 1: 0, 2: 12, 3: 0, 4: 1}",0
5,False,"{'a': 0.1, 'e': 0.9999875000260416}",25,0,-107.55084994766149,"{0: 18, 1: 0, 2: 5, 3: 0, 4: 2}",0
6,False,"{'a': 0.1, 'e': 0.999982000054}",30,0,-180.50375497465214,"{0: 19, 1: 2, 2: 5, 3: 1, 4: 3}",0
7,False,"{'a': 0.1, 'e': 0.9999755001000415}",20,0,-111.15222640131212,"{0: 9, 1: 3, 2: 7, 3: 0, 4: 1}",0
8,False,"{'a': 0.1, 'e': 0.9999680001706663}",25,0,-54.000426902732876,"{0: 16, 1: 4, 2: 5, 3: 0, 4: 0}",0
9,False,"{'a': 0.1, 'e': 0.9999595002733742}",20,0,-35.92387035225192,"{0: 13, 1: 5, 2: 2, 3: 0, 4: 0}",0
10,False,"{'a': 0.1, 'e': 0.9999500004166653}",30,0,-141.20386488574132,"{0: 20, 1: 1, 2: 4, 3: 4, 4: 1}",0
11,False,"{'a': 0.1, 'e': 0.9999395006100392}",30,0,-129.8123873298461,"{0: 19, 1: 4, 2: 5, 3: 0, 4: 2}",0
12,False,"{'a': 0.1, 'e': 0.9999280008639958}",25,0,-185.71943792332488,"{0: 12, 1: 0, 2: 10, 3: 1, 4: 2}",0
13,False,"{'a': 0.1, 'e': 0.9999155011900349}",25,0,-148.1056587208959,"{0: 15, 1: 1, 2: 7, 3: 0, 4: 2}",0
14,False,"{'a': 0.1, 'e': 0.9999020016006562}",35,0,-45.59022321573777,"{0: 27, 1: 3, 2: 4, 3: 1, 4: 0}",0
15,False,"{'a': 0.1, 'e': 0.9998875021093592}",20,0,-96.74521628215162,"{0: 13, 1: 2, 2: 2, 3: 2, 4: 1}",0
16,False,"{'a': 0.1, 'e': 0.9998720027306434}",25,0,-141.98394086131609,"{0: 13, 1: 5, 2: 4, 3: 1, 4: 2}",0
17,False,"{'a': 0.1, 'e': 0.9998555034800082}",30,0,-229.38078329448524,"{0: 16, 1: 4, 2: 5, 3: 1, 4: 4}",0
18,False,"{'a': 0.1, 'e': 0.9998380043739528}",30,0,-167.04037602538335,"{0: 18, 1: 3, 2: 5, 3: 2, 4: 2}",0
19,False,"{'a': 0.1, 'e': 0.9998195054299763}",20,0,-122.18038691102247,"{0: 11, 1: 0, 2: 7, 3: 1, 4: 1}",0
20,False,"{'a': 0.1, 'e': 0.9998000066665778}",25,0,-159.79610432901842,"{0: 16, 1: 1, 2: 5, 3: 0, 4: 3}",0
21,False,"{'a': 0.1, 'e': 0.9997795081032559}",25,0,-153.61125125220667,"{0: 18, 1: 0, 2: 2, 3: 2, 4: 3}",0
22,False,"{'a': 0.1, 'e': 0.9997580097605092}",30,0,-191.82932411401103,"{0: 18, 1: 1, 2: 7, 3: 1, 4: 3}",0
23,False,"{'a': 0.1, 'e': 0.9997355116598361}",25,0,-183.5206848569652,"{0: 14, 1: 0, 2: 6, 3: 3, 4: 2}",0
24,False,"{'a': 0.1, 'e': 0.9997120138237345}",30,0,-100.89308751391314,"{0: 17, 1: 5, 2: 6, 3: 2, 4: 0}",0
25,False,"{'a': 0.1, 'e': 0.9996875162757026}",20,0,-25.0736157802474,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
26,False,"{'a': 0.1, 'e': 0.9996620190402377}",20,0,-118.71189495515861,"{0: 13, 1: 0, 2: 5, 3: 0, 4: 2}",0
27,False,"{'a': 0.1, 'e': 0.9996355221428369}",30,9,-150.78098070110707,"{0: 11, 1: 1, 2: 6, 3: 1, 4: 2}",1
28,False,"{'a': 0.1, 'e': 0.9996080256099974}",25,0,-106.4042600522651,"{0: 15, 1: 4, 2: 4, 3: 1, 4: 1}",0
29,False,"{'a': 0.1, 'e': 0.9995795294692156}",25,0,-97.16339162691018,"{0: 17, 1: 5, 2: 1, 3: 0, 4: 2}",0
30,False,"{'a': 0.1, 'e': 0.9995500337489875}",20,0,-13.040870135476387,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
31,False,"{'a': 0.1, 'e': 0.999519538478809}",35,0,-193.29210854878448,"{0: 20, 1: 3, 2: 8, 3: 2, 4: 2}",0
32,False,"{'a': 0.1, 'e': 0.9994880436891754}",20,0,-25.821138038845437,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
33,False,"{'a': 0.1, 'e': 0.9994555494115813}",25,0,-130.99071672831434,"{0: 17, 1: 1, 2: 3, 3: 2, 4: 2}",0
34,False,"{'a': 0.1, 'e': 0.9994220556785212}",20,0,-122.71646767813051,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
35,False,"{'a': 0.1, 'e': 0.9993875625234886}",20,4,-14.079113125097114,"{0: 12, 1: 2, 2: 2, 3: 0, 4: 0}",1
36,False,"{'a': 0.1, 'e': 0.9993520699809768}",20,0,-199.91518232931085,"{0: 9, 1: 3, 2: 4, 3: 0, 4: 4}",0
37,False,"{'a': 0.1, 'e': 0.9993155780864782}",20,0,-55.58723381770648,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 1}",0
38,False,"{'a': 0.1, 'e': 0.9992780868764849}",25,0,-180.3116907005136,"{0: 16, 1: 2, 2: 3, 3: 0, 4: 4}",0
39,False,"{'a': 0.1, 'e': 0.999239596388488}",20,0,-105.71012314803293,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 2}",0
40,False,"{'a': 0.1, 'e': 0.9992001066609779}",20,0,-136.94420387707345,"{0: 11, 1: 0, 2: 7, 3: 0, 4: 2}",0
41,False,"{'a': 0.1, 'e': 0.9991596177334445}",25,14,-8.011134287253974,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
42,False,"{'a': 0.1, 'e': 0.9991181296463766}",30,0,-208.66277234620702,"{0: 15, 1: 4, 2: 7, 3: 1, 4: 3}",0
43,False,"{'a': 0.1, 'e': 0.9990756424412622}",30,0,-192.54288400356833,"{0: 17, 1: 8, 2: 1, 3: 0, 4: 4}",0
44,False,"{'a': 0.1, 'e': 0.9990321561605888}",20,0,-131.1014800576135,"{0: 11, 1: 1, 2: 6, 3: 0, 4: 2}",0
45,False,"{'a': 0.1, 'e': 0.9989876708478425}",20,0,-143.20446204999712,"{0: 14, 1: 1, 2: 1, 3: 1, 4: 3}",0
46,False,"{'a': 0.1, 'e': 0.9989421865475084}",30,0,-101.10267490168572,"{0: 22, 1: 3, 2: 3, 3: 0, 4: 2}",0
47,False,"{'a': 0.1, 'e': 0.9988957033050712}",25,0,-77.63664907097089,"{0: 18, 1: 1, 2: 5, 3: 0, 4: 1}",0
48,False,"{'a': 0.1, 'e': 0.9988482211670138}",25,0,-122.69914693017236,"{0: 14, 1: 2, 2: 7, 3: 1, 4: 1}",0
49,False,"{'a': 0.1, 'e': 0.9987997401808185}",20,0,-59.41814658113141,"{0: 14, 1: 0, 2: 4, 3: 2, 4: 0}",0
50,False,"{'a': 0.1, 'e': 0.9987502603949663}",25,0,-64.17272619391895,"{0: 17, 1: 2, 2: 5, 3: 1, 4: 0}",0
51,False,"{'a': 0.1, 'e': 0.9986997818589368}",25,6,-10.761674450086419,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 0}",1
52,False,"{'a': 0.1, 'e': 0.9986483046232089}",20,4,-48.22575507851515,"{0: 10, 1: 2, 2: 3, 3: 1, 4: 0}",1
53,False,"{'a': 0.1, 'e': 0.9985958287392593}",20,0,-59.73273315751233,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
54,False,"{'a': 0.1, 'e': 0.9985423542595644}",20,0,-99.16355561999549,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 2}",0
55,False,"{'a': 0.1, 'e': 0.9984878812375985}",20,0,-85.24216234843534,"{0: 12, 1: 4, 2: 2, 3: 1, 4: 1}",0
56,False,"{'a': 0.1, 'e': 0.9984324097278344}",20,5,-53.51020184709238,"{0: 10, 1: 0, 2: 3, 3: 2, 4: 0}",1
57,False,"{'a': 0.1, 'e': 0.9983759397857438}",25,0,-69.00850013557941,"{0: 17, 1: 1, 2: 6, 3: 1, 4: 0}",0
58,False,"{'a': 0.1, 'e': 0.9983184714677966}",25,0,-156.85343118612928,"{0: 11, 1: 2, 2: 10, 3: 1, 4: 1}",0
59,False,"{'a': 0.1, 'e': 0.9982600048314613}",20,0,-100.40741444549857,"{0: 10, 1: 2, 2: 6, 3: 2, 4: 0}",0
60,False,"{'a': 0.1, 'e': 0.9982005399352042}",20,0,-37.90801979702174,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
61,False,"{'a': 0.1, 'e': 0.9981400768384904}",30,17,-70.80496878400501,"{0: 9, 1: 1, 2: 0, 3: 2, 4: 1}",1
62,False,"{'a': 0.1, 'e': 0.9980786156017829}",25,0,-18.369474236696824,"{0: 21, 1: 1, 2: 2, 3: 1, 4: 0}",0
