trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.1, 'e': 1.0}",20,0,-138.77120683524387,"{0: 11, 1: 1, 2: 5, 3: 1, 4: 2}",0
2,False,"{'a': 0.1, 'e': 0.5}",25,8,-68.43385171037639,"{0: 11, 1: 0, 2: 3, 3: 3, 4: 0}",1
3,False,"{'a': 0.1, 'e': 0.3333333333333333}",30,0,-218.3166619759159,"{0: 14, 1: 2, 2: 9, 3: 3, 4: 2}",0
4,False,"{'a': 0.1, 'e': 0.25}",25,0,-102.17812070361965,"{0: 15, 1: 4, 2: 4, 3: 1, 4: 1}",0
5,False,"{'a': 0.1, 'e': 0.2}",20,0,-141.19976821308848,"{0: 12, 1: 3, 2: 2, 3: 0, 4: 3}",0
6,False,"{'a': 0.1, 'e': 0.16666666666666666}",20,0,-57.4912531482618,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
7,False,"{'a': 0.1, 'e': 0.14285714285714285}",35,0,-228.6391311146249,"{0: 19, 1: 5, 2: 6, 3: 2, 4: 3}",0
8,False,"{'a': 0.1, 'e': 0.125}",20,0,-35.06054572241159,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
9,False,"{'a': 0.1, 'e': 0.1111111111111111}",20,0,-162.98040673905905,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 4}",0
10,False,"{'a': 0.1, 'e': 0.1}",25,0,-101.56238215000135,"{0: 16, 1: 4, 2: 3, 3: 1, 4: 1}",0
11,False,"{'a': 0.1, 'e': 0.09090909090909091}",30,0,-134.75856979178783,"{0: 19, 1: 4, 2: 3, 3: 3, 4: 1}",0
12,False,"{'a': 0.1, 'e': 0.08333333333333333}",25,7,-54.678499031341126,"{0: 10, 1: 2, 2: 6, 3: 0, 4: 0}",1
13,False,"{'a': 0.1, 'e': 0.07692307692307693}",20,15,0.5396359101089598,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
14,False,"{'a': 0.1, 'e': 0.07142857142857142}",20,0,-26.533985401119377,"{0: 15, 1: 3, 2: 1, 3: 1, 4: 0}",0
15,False,"{'a': 0.1, 'e': 0.06666666666666667}",20,0,-49.52936641849702,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 0}",0
16,False,"{'a': 0.1, 'e': 0.0625}",20,0,-24.099120741595137,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
17,False,"{'a': 0.1, 'e': 0.058823529411764705}",30,0,-160.32530414603445,"{0: 15, 1: 6, 2: 7, 3: 0, 4: 2}",0
18,False,"{'a': 0.1, 'e': 0.05555555555555555}",20,14,0.8594637195979478,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
19,False,"{'a': 0.1, 'e': 0.05263157894736842}",25,0,-62.49278719282068,"{0: 17, 1: 1, 2: 6, 3: 1, 4: 0}",0
20,False,"{'a': 0.1, 'e': 0.05}",20,0,-73.8951724965785,"{0: 10, 1: 3, 2: 7, 3: 0, 4: 0}",0
1,True,"{'a': 0.0, 'e': 0.0}",20,0,-121.8685285084072,"{0: 12, 1: 2, 2: 3, 3: 1, 4: 2}",0
2,True,"{'a': 0.0, 'e': 0.0}",20,0,-38.48864861182446,"{0: 13, 1: 4, 2: 3, 3: 0, 4: 0}",0
3,True,"{'a': 0.0, 'e': 0.0}",20,0,-60.09810643012568,"{0: 11, 1: 3, 2: 6, 3: 0, 4: 0}",0
4,True,"{'a': 0.0, 'e': 0.0}",25,0,-80.09593428473944,"{0: 15, 1: 3, 2: 5, 3: 2, 4: 0}",0
5,True,"{'a': 0.0, 'e': 0.0}",20,0,-78.93031251981535,"{0: 11, 1: 2, 2: 6, 3: 1, 4: 0}",0
6,True,"{'a': 0.0, 'e': 0.0}",25,0,-26.552380252635306,"{0: 18, 1: 4, 2: 3, 3: 0, 4: 0}",0
7,True,"{'a': 0.0, 'e': 0.0}",25,2,-119.45475805871206,"{0: 14, 1: 2, 2: 3, 3: 3, 4: 1}",1
8,True,"{'a': 0.0, 'e': 0.0}",30,0,-103.6090743913986,"{0: 21, 1: 2, 2: 5, 3: 1, 4: 1}",0
9,True,"{'a': 0.0, 'e': 0.0}",30,0,-150.01447045781217,"{0: 16, 1: 3, 2: 9, 3: 1, 4: 1}",0
10,True,"{'a': 0.0, 'e': 0.0}",25,0,-138.42200094942658,"{0: 16, 1: 1, 2: 5, 3: 1, 4: 2}",0
